Year_Month,AAPL.Coeff,AXP.Coeff,BA.Coeff,CAT.Coeff,CSCO.Coeff,CVX.Coeff,DIS.Coeff,DOW.Coeff,GS.Coeff,HD.Coeff,IBM.Coeff,INTC.Coeff,JNJ.Coeff,JPM.Coeff,KO.Coeff,MCD.Coeff,MMM.Coeff,MRK.Coeff,MSFT.Coeff,NKE.Coeff,PFE.Coeff,PG.Coeff,TRV.Coeff,UNH.Coeff,UTX.Coeff,V.Coeff,VZ.Coeff,WBA.Coeff,WMT.Coeff,XOM.Coeff
20071,Not Significant,0.011054504,0.016791745,Not Significant,0.019377307,Not Significant,Not Significant,Not Significant,0.019440455,0.011377863,Not Significant,Not Significant,Not Significant,Not Significant,0.003875341,0.009898275,Not Significant,Not Significant,0.017620858,Not Significant,0.008911476,0.005504915,Not Significant,0.012731084,0.015873376,Not Significant,0.009655546,Not Significant,0.008414582,Not Significant
20081,Not Significant,0.018849722,0.007484024,0.010918987,0.01130939,0.007923572,0.008694222,Not Significant,0.012266473,0.011613878,0.011749648,0.019901779,Not Significant,0.018430483,0.006538442,Not Significant,0.00778082,Not Significant,0.007592948,0.009747276,0.007119971,0.004116229,0.011968368,Not Significant,0.010840071,Not Significant,0.009938127,0.006595501,0.006464442,0.008689926
20111,0.011438205,0.009960048,Not Significant,0.007944904,0.012387164,0.007867904,Not Significant,Not Significant,0.016963718,0.010797223,Not Significant,Not Significant,Not Significant,0.012106145,Not Significant,Not Significant,0.007975771,Not Significant,0.011819311,0.009208344,0.006300328,Not Significant,0.006326339,Not Significant,Not Significant,0.010193702,Not Significant,0.006793417,Not Significant,0.008857159
20121,Not Significant,0.013390508,0.007175048,0.015223301,0.009411615,0.011338993,0.010567577,Not Significant,0.031658389,0.008303977,Not Significant,Not Significant,Not Significant,0.025686877,0.005811836,Not Significant,0.008137517,Not Significant,Not Significant,0.005867131,0.006949711,Not Significant,Not Significant,Not Significant,0.010359834,Not Significant,Not Significant,0.012422155,Not Significant,0.008542099
20131,Not Significant,0.008582852,Not Significant,0.013407354,0.01070409,0.008918014,0.011148227,Not Significant,0.012222434,0.0094149,Not Significant,Not Significant,0.005043057,0.009061866,0.012246183,0.005787676,0.008275614,Not Significant,0.01124482,Not Significant,0.012239309,0.009189547,0.006685796,Not Significant,0.010706545,0.0076552,0.011566784,Not Significant,Not Significant,0.010768694
20141,Not Significant,0.010526687,0.008930486,0.009966513,0.007854554,0.007534818,0.014011656,Not Significant,0.008388927,0.005273935,0.006439848,0.008691394,0.008241742,0.008603973,0.008712506,0.004893984,0.008100553,Not Significant,Not Significant,0.010172146,0.0130853,Not Significant,0.007204272,0.009737491,0.008310683,0.014066597,Not Significant,Not Significant,0.00394947,0.007181195
20171,Not Significant,0.009231824,0.019712874,0.017454911,Not Significant,0.009660388,0.008891735,Not Significant,0.018739925,Not Significant,0.014913067,0.011074813,Not Significant,0.017345623,Not Significant,Not Significant,Not Significant,Not Significant,Not Significant,0.011648169,Not Significant,Not Significant,Not Significant,Not Significant,0.005896211,0.009355833,Not Significant,Not Significant,Not Significant,Not Significant
20181,0.010840826,Not Significant,Not Significant,Not Significant,0.012175686,0.016339654,0.016582036,Not Significant,Not Significant,0.012896272,Not Significant,0.029021477,Not Significant,Not Significant,Not Significant,0.011372186,0.01160683,Not Significant,0.012331952,Not Significant,0.016478228,Not Significant,Not Significant,0.014404645,Not Significant,0.009214708,Not Significant,0.015850879,0.008553191,0.012525884
20191,0.02190523,0.008593435,0.015646016,0.01875361,0.011672882,0.007767517,0.006632669,Not Significant,Not Significant,0.008498099,0.007902865,0.014657852,0.006287931,0.006612312,Not Significant,Not Significant,0.011130993,0.007032892,0.014202219,0.007196068,0.008423273,Not Significant,0.006753436,0.006258135,0.010221556,0.011165436,Not Significant,0.007923873,Not Significant,0.008358879
20201,0.020994175,0.012900416,Not Significant,0.016092296,0.014691818,0.011136076,0.009096636,0.015317039,0.0164871,0.009253558,Not Significant,Not Significant,0.00350608,0.013213801,Not Significant,0.008204339,Not Significant,Not Significant,0.014539395,0.008169659,Not Significant,Not Significant,Not Significant,0.011273892,0.010804476,0.014822659,Not Significant,Not Significant,Not Significant,0.01328822
20101,0.01860375,0.014410237,0.015159133,0.017552075,0.016257416,0.009406216,0.004923364,Not Significant,0.014551915,Not Significant,0.008990305,0.015827343,0.00534355,0.017119381,Not Significant,Not Significant,0.007362732,0.012910342,0.011850718,Not Significant,0.013037273,Not Significant,Not Significant,0.014839061,0.008129885,0.011085692,Not Significant,0.00769067,Not Significant,0.006012059
20161,0.013283449,Not Significant,0.012918742,0.011200712,0.011003715,0.013766072,0.010478068,Not Significant,0.013398282,0.009221716,0.006469366,0.013729628,0.008255531,0.013143329,0.004179013,0.005945813,0.010332419,0.007812529,0.013707228,0.007101414,0.005108853,0.006493434,0.007775601,0.008353938,0.007145056,0.011881328,0.007271614,0.008006624,0.005770358,0.011331663
20091,0.009580096,0.017063925,0.009026411,0.009144046,0.012226945,0.01007335,0.012078772,Not Significant,0.025855664,0.009805465,0.011073771,0.01241599,0.002278399,0.027320824,0.004127432,0.005838861,0.005922081,0.002751511,0.012834538,0.010108003,Not Significant,0.004046595,0.011385876,0.009300771,0.005896397,0.011119293,0.004439562,0.004876832,Not Significant,0.006766812
20151,0.010837124,0.006311063,Not Significant,0.012174992,0.009691604,0.01263863,0.006805606,Not Significant,0.012962461,0.015011457,0.009906926,0.011184872,0.008403277,0.015832349,0.006133267,0.007776128,0.010033574,Not Significant,0.017778101,0.011627765,0.006040606,0.007848813,0.010449391,0.014489366,0.008236579,0.006606219,Not Significant,0.008973525,0.007843497,0.010629807
200710,0.012168772,0.014402254,0.008262248,0.015618039,0.01158439,0.009357493,0.010012216,Not Significant,0.022917389,0.009946422,0.007454805,0.010410791,0.004436192,0.0108656,0.004253906,0.006620571,0.015646606,0.006912555,0.015495969,0.007168852,0.006792784,Not Significant,0.008508229,0.006601482,0.007464906,Not Significant,0.009827426,Not Significant,Not Significant,0.009301871
200810,0.008034282,0.012024616,0.011430466,0.010253342,0.011018059,0.015110547,0.012408894,Not Significant,0.010759569,0.00894845,0.006988272,0.009510765,0.007620382,0.008083936,0.007956998,0.007815122,0.007449195,0.011180123,0.010424998,0.009728818,0.008040196,0.007918623,0.009395704,0.015762564,0.010908345,0.010261986,0.008774791,0.00910318,0.008116377,0.014033263
200910,0.007669032,0.016121773,0.009913025,0.017357651,0.009755628,0.008984892,0.010204231,Not Significant,0.014350053,0.009196986,0.006674519,0.009521968,0.004747632,0.018345857,0.003027251,0.003614595,0.009360372,0.004805196,Not Significant,0.009160466,0.009630523,0.006786058,0.009033109,Not Significant,0.009027296,Not Significant,Not Significant,0.005131995,0.002979304,0.007817246
201010,0.014294839,Not Significant,0.014524338,0.014103917,0.008502488,0.011303124,0.009188488,Not Significant,Not Significant,Not Significant,0.009660578,Not Significant,0.005493248,Not Significant,0.003385092,Not Significant,0.010610862,0.009310237,0.011350088,0.00719711,0.012032929,0.005843078,0.007733231,0.015845397,0.00954842,0.011466262,Not Significant,0.013726005,Not Significant,0.009264663
201210,0.013612063,0.013090461,Not Significant,0.015399481,0.010915441,0.012167596,0.009074366,Not Significant,0.013086258,Not Significant,Not Significant,0.008929872,0.0091419,0.012911233,Not Significant,0.009791869,0.013934406,0.010817367,0.009156614,0.009774095,0.008267404,0.009539624,Not Significant,Not Significant,0.009211935,0.011559964,0.00783634,Not Significant,0.006782784,0.010285162
201310,Not Significant,0.014294821,0.00970959,0.009423752,0.007345333,0.005745694,0.010834337,Not Significant,0.009748451,0.006421242,Not Significant,0.008328759,0.00888275,0.013475237,0.00557245,0.005802788,0.00759384,Not Significant,0.008138484,0.010114504,0.010683491,0.005906574,0.009028514,Not Significant,0.008847897,0.015919282,0.008905543,0.010507792,0.005388544,0.005252039
201410,0.007144883,0.012743055,0.011449113,0.012973371,0.00972897,0.010924842,0.011665056,Not Significant,0.011234275,0.009240427,Not Significant,0.014601725,0.009734755,0.010993244,Not Significant,0.004960947,0.01281483,0.011200517,0.011412028,0.008015881,0.00691933,0.003747034,0.00508724,0.010483272,0.009239403,0.012317395,0.005925359,0.006708277,0.003840585,0.008931876
201510,0.008365132,Not Significant,0.008340462,0.011745992,0.010830373,0.01150561,0.005104014,Not Significant,0.012579656,0.004544386,0.013496826,0.007689127,0.008181668,0.011831207,0.006985782,0.012657563,0.009198816,0.014930015,0.013605072,Not Significant,0.012359688,0.004757655,0.006483621,Not Significant,0.008329901,0.009754312,0.007333117,Not Significant,Not Significant,0.009556736
201810,0.012094081,0.008324637,0.010391827,0.013723534,0.012978864,0.007565629,0.010499013,Not Significant,0.011225875,0.006259925,Not Significant,0.012085084,0.004986105,0.007934224,0.003370879,Not Significant,0.009306535,0.006901268,0.015587175,0.011519178,0.008992614,Not Significant,0.005453721,0.010613575,0.010090979,0.014216902,Not Significant,0.009566334,0.004761518,0.007062068
201910,0.010663896,0.012747002,Not Significant,0.016402697,0.012693581,0.011221092,0.004297287,0.015903652,0.011197432,0.006589247,0.007664309,0.015928346,Not Significant,0.013235332,Not Significant,Not Significant,0.013979456,0.009087219,0.011883523,0.006417349,0.009101341,Not Significant,0.010730148,Not Significant,0.010833547,0.010789251,0.00586258,0.010680764,0.006231327,0.012234782
