"Year_Month","AAPL.Coeff","AXP.Coeff","BA.Coeff","CAT.Coeff","CSCO.Coeff","CVX.Coeff","DIS.Coeff","DOW.Coeff","GS.Coeff","HD.Coeff","IBM.Coeff","INTC.Coeff","JNJ.Coeff","JPM.Coeff","KO.Coeff","MCD.Coeff","MMM.Coeff","MRK.Coeff","MSFT.Coeff","NKE.Coeff","PFE.Coeff","PG.Coeff","TRV.Coeff","UNH.Coeff","UTX.Coeff","V.Coeff","VZ.Coeff","WBA.Coeff","WMT.Coeff","XOM.Coeff"
20071,"Not Significant","0.0146901488792227","0.0198704338422135","Not Significant","0.0196646052491738","Not Significant","Not Significant","Not Significant","0.0234648758137699","0.0151700206941062","Not Significant","Not Significant","Not Significant","Not Significant","0.00361186415997417","0.0116688585958785","Not Significant","Not Significant","0.0175306445732158","Not Significant","0.0140149358424885","Not Significant","Not Significant","Not Significant","0.01694867364414","Not Significant","0.0101435728028838","Not Significant","0.0102602368763596","Not Significant"
20081,"Not Significant","0.0188393112047782","Not Significant","0.0106197394592059","0.0133217992697871","0.00954542206785122","0.00862973205281856","Not Significant","0.00963817969327964","0.00832183404634726","0.0125667687822118","0.0223890447339879","Not Significant","0.0128526211287117","0.00835410340951105","Not Significant","0.0074266821875609","Not Significant","0.00991808992864904","0.00949248969492601","0.00708859848173384","0.00479747776892308","0.0106342293483631","Not Significant","0.0102126086708653","Not Significant","0.00956530483807214","Not Significant","0.00523059094245748","0.0104824959322811"
20111,"Not Significant","Not Significant","0.020380036590775","0.00893376506113485","0.0158831008955394","0.0113373399857264","Not Significant","Not Significant","0.013070977246669","Not Significant","Not Significant","Not Significant","Not Significant","0.0107702407900291","Not Significant","Not Significant","0.0105309775167445","Not Significant","0.0195735645509335","Not Significant","0.0131560339286057","Not Significant","Not Significant","Not Significant","0.00955079212903792","Not Significant","Not Significant","Not Significant","Not Significant","0.0120175034907685"
20121,"0.0208134559860502","0.0159943465247965","0.00853007731007896","0.0171875067213852","0.00955289901929011","0.0139822759356948","0.0126148101982216","Not Significant","0.0223239994653933","0.0117742703230669","Not Significant","Not Significant","Not Significant","0.016835708736012","Not Significant","Not Significant","0.00948448493249217","Not Significant","Not Significant","0.00800165185942932","0.00680631527081637","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.013758048627289","Not Significant","0.00965246373184057"
20131,"Not Significant","0.0091736870913459","Not Significant","0.0125831917572468","0.0108976090698132","0.00930411244629311","0.00990878018836147","Not Significant","Not Significant","0.0103364821505897","Not Significant","Not Significant","0.00575787313143313","0.00841402461470001","0.0130902336949851","0.00633808826072524","0.00828534006740921","Not Significant","0.0155540161782232","Not Significant","0.0123312614617359","0.0110602310006713","Not Significant","Not Significant","0.0122309369105074","0.00802433389591672","0.0108266591799087","Not Significant","Not Significant","0.0106877275794113"
20141,"Not Significant","0.010793784494158","Not Significant","0.0183467348709824","0.00742436191534061","0.00936316467912972","0.0142889567025487","Not Significant","0.00945775905356053","0.0039932461334795","Not Significant","0.00964379505339436","0.00830225448025062","0.0121799654763448","0.00763174737162712","0.00315250838090173","0.00825207455393068","Not Significant","Not Significant","0.0124258755305694","0.0137450774006265","Not Significant","0.0113185432027662","0.0103189551989472","0.0107172117732712","0.0131991160837675","Not Significant","Not Significant","0.00485006439197841","0.00844287061698103"
20171,"Not Significant","Not Significant","0.0195573079108885","Not Significant","Not Significant","0.0100654937845969","Not Significant","Not Significant","0.0195698609528709","Not Significant","0.0171128860035976","0.0131984277934933","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0206729796267634","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0177763125624593","Not Significant","Not Significant","Not Significant","Not Significant"
20181,"0.0112460452907332","Not Significant","Not Significant","Not Significant","0.0123519393996233","0.0168252136831942","0.0154845133233786","Not Significant","Not Significant","0.0134622333964414","Not Significant","0.0276515701569996","Not Significant","0.00674569518665568","Not Significant","0.0117644040606904","0.0121307471652595","Not Significant","0.0134206112349285","Not Significant","0.0172849360521636","Not Significant","Not Significant","0.0163796802686733","Not Significant","0.0101048550344516","Not Significant","Not Significant","0.00841951399961949","0.0132435415315533"
20191,"0.0208566634233278","0.0119460100041338","0.0152989496143358","0.0175027991610476","0.011229907252962","0.00800875427232183","0.00593753416410892","Not Significant","0.0202562160215666","0.0100787911612357","Not Significant","0.0173841271834306","Not Significant","0.0128245128838121","Not Significant","Not Significant","0.0147222811512434","0.00700055566153619","0.0158355342830241","0.00604264601073715","Not Significant","Not Significant","0.00715728122389593","Not Significant","0.0151711752271945","0.0125745218526856","Not Significant","0.0062483115710618","Not Significant","0.0108212981412897"
20201,"0.021108032563807","0.012399930412179","Not Significant","0.0161232923769143","0.0145079054460511","0.0110554978343077","0.00832833756083795","0.0169491237741906","0.0161907606510008","0.00975638663040221","Not Significant","Not Significant","0.00381909193176486","0.0129438491207492","Not Significant","0.00844004535719429","Not Significant","Not Significant","0.0142021419183476","0.00842647862555379","Not Significant","Not Significant","Not Significant","0.0123903163412737","0.0106382288073056","0.0148538552075437","Not Significant","Not Significant","Not Significant","0.0127749219230486"
