"Year_Month","AAPL.Coeff","AXP.Coeff","BA.Coeff","CAT.Coeff","CSCO.Coeff","CVX.Coeff","DIS.Coeff","DOW.Coeff","GS.Coeff","HD.Coeff","IBM.Coeff","INTC.Coeff","JNJ.Coeff","JPM.Coeff","KO.Coeff","MCD.Coeff","MMM.Coeff","MRK.Coeff","MSFT.Coeff","NKE.Coeff","PFE.Coeff","PG.Coeff","TRV.Coeff","UNH.Coeff","UTX.Coeff","V.Coeff","VZ.Coeff","WBA.Coeff","WMT.Coeff","XOM.Coeff"
20071,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.030782810278656","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0169904634985782","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0162059225936543","Not Significant","-0.031376786934876"
20081,"Not Significant","Not Significant","Not Significant","-0.0152361451696442","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0211455526240592","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0139611069855521","0.0183069594586016","Not Significant","Not Significant","Not Significant","Not Significant","0.0163317032414628","Not Significant","Not Significant","Not Significant"
20111,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0263910695077461","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20121,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0197596319238906","0.0509872065095339","Not Significant","Not Significant","Not Significant","0.02679122472579","Not Significant","Not Significant","Not Significant"
20131,"-0.129432339143697","Not Significant","Not Significant","Not Significant","0.0325943914099536","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20141,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20171,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0308707285570612","Not Significant","Not Significant","Not Significant","Not Significant","-0.0249820034503619","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20181,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0519688827634024","Not Significant","Not Significant","Not Significant","Not Significant","0.020988439217286","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0427579452092802","Not Significant","Not Significant","Not Significant"
20191,"-0.0466613221722561","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0202388994009307","Not Significant","Not Significant","Not Significant","-0.0250235631874102","Not Significant","0.033796126784154","0.0303037833210999","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20201,"0.0221209318143603","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0322302392735707","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0173588667160682","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0210543214178825","Not Significant"
20101,"-0.0318072053459565","Not Significant","Not Significant","0.057087808299426","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0397999953385744","Not Significant","Not Significant","Not Significant","-0.0296602750066653","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0262243447925479","Not Significant","Not Significant","Not Significant","0.0313205193178727","0.018932855571468"
20161,"-0.0360692961415138","Not Significant","-0.0262280301116061","-0.025707149739354","Not Significant","Not Significant","Not Significant","Not Significant","-0.0176528315325747","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0200163067822791","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.028278716197812","0.016825333378236","Not Significant","Not Significant","Not Significant"
20091,"-0.0270673263243059","Not Significant","Not Significant","0.0269273961079092","Not Significant","Not Significant","Not Significant","Not Significant","-0.0470964229803902","Not Significant","Not Significant","Not Significant","Not Significant","-0.0687147940591575","Not Significant","Not Significant","Not Significant","Not Significant","0.0293179035936861","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20151,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0316405697141786","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
