"Year_Month","AAPL.Coeff","AXP.Coeff","BA.Coeff","CAT.Coeff","CSCO.Coeff","CVX.Coeff","DIS.Coeff","DOW.Coeff","GS.Coeff","HD.Coeff","IBM.Coeff","INTC.Coeff","JNJ.Coeff","JPM.Coeff","KO.Coeff","MCD.Coeff","MMM.Coeff","MRK.Coeff","MSFT.Coeff","NKE.Coeff","PFE.Coeff","PG.Coeff","TRV.Coeff","UNH.Coeff","UTX.Coeff","V.Coeff","VZ.Coeff","WBA.Coeff","WMT.Coeff","XOM.Coeff"
20071,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0270975122258566","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0478650043361271","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0221802649494927","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0314719739744327"
20081,"Not Significant","Not Significant","-0.0250682324216945","Not Significant","Not Significant","0.0107608159665676","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0218446881925898","Not Significant","Not Significant","Not Significant"
20111,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0253036856815208","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0207514158461735","Not Significant"
20121,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0277130706931502","Not Significant","Not Significant","Not Significant","0.0221360896416284","Not Significant","Not Significant","Not Significant","0.0381320544195225","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20131,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0353380670900535","Not Significant","Not Significant","Not Significant","Not Significant"
20141,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.01808611755072","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0140325136281611","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20171,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20181,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0463180432124951","Not Significant","Not Significant","Not Significant","Not Significant","0.0139555918662654","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.00976317392031655"
20191,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20201,"0.0133377692368445","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0179811413454066","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0261442031691848","Not Significant"
