Date,Open,High,Low,Close,Adj Close,Volume
1/3/2007,61.18,61.900002,60.049999,60.360001,48.571335,6142500
1/4/2007,60.23,60.57,59.790001,59.919998,48.217274,5671200
1/5/2007,59.650002,59.869999,58.900002,59.130001,47.581562,6768100
1/8/2007,59.029999,59.759998,58.349998,59.689999,48.032188,5000200
1/9/2007,59.900002,59.950001,59,59.310001,47.726418,4968000
1/10/2007,59.240002,59.369999,58.709999,59.27,47.694206,4366800
1/11/2007,59.25,59.57,59.060001,59.450001,47.839058,4204900
1/12/2007,59.349998,59.41,58.759998,59.009998,47.484985,5002900
1/16/2007,58.849998,59.18,58.68,59.130001,47.581562,5354200
1/17/2007,59.16,59.5,59,59.220001,47.653988,4898000
1/18/2007,58.5,59.43,58.5,59,47.476933,4606500
1/19/2007,59.23,59.23,58.040001,58.09,46.744678,8192600
1/22/2007,58.299999,58.630001,57.139999,58.060001,46.720528,13231600
1/23/2007,58,58.150002,57.150002,57.540001,46.30209,6572200
1/24/2007,57.700001,58.93,57.650002,58.93,47.42062,5485000
1/25/2007,58.779999,58.93,57.689999,57.77,46.487164,5103700
1/26/2007,57.810001,58.049999,57.450001,57.849998,46.551556,5477000
1/29/2007,57.75,57.959999,57.5,57.639999,46.382557,4714500
1/30/2007,57.68,58.029999,57.650002,58.009998,46.680302,5177500
1/31/2007,58.02,58.450001,57.75,58.220001,46.849285,6323300
2/1/2007,58.299999,58.669998,57.91,58.07,46.728596,4115900
2/2/2007,58.299999,58.5,58,58.16,46.800999,5033400
2/5/2007,58.169998,58.48,57.91,58.200001,46.833191,3220000
2/6/2007,58.400002,58.5,57.59,58.060001,46.720528,4491800
2/7/2007,58.23,58.849998,58.060001,58.68,47.21946,4487000
2/8/2007,58.68,58.68,58.060001,58.490002,47.066563,2913600
2/9/2007,58.650002,58.970001,57.310001,57.529999,46.294048,4704900
2/12/2007,57.689999,57.689999,56.209999,57,45.867554,12378600
2/13/2007,57.23,57.779999,56.82,57.599998,46.350376,4978500
2/14/2007,57.599998,59.049999,57.349998,58.689999,47.227478,7739100
2/15/2007,58.52,59.119999,58.52,58.849998,47.356236,7609300
2/16/2007,59,59.150002,58.540001,59.02,47.49305,4927900
2/20/2007,58.75,59.009998,58.080002,58.709999,47.243587,4483200
2/21/2007,58.259998,58.799999,58.25,58.529999,47.098751,2681100
2/22/2007,58.419998,58.77,57.939999,58.150002,46.792957,3855300
2/23/2007,58,58.299999,57.77,58.02,46.688358,3574500
2/26/2007,58.02,58.48,57.099998,57.139999,45.980217,4242800
2/27/2007,57,57.029999,54.5,55.59,44.732944,11075600
2/28/2007,56.029999,57.459999,56,56.869999,45.762939,11590300
3/1/2007,56.200001,57,55.150002,56.549999,45.505447,8759700
3/2/2007,56.099998,56.450001,55.330002,55.439999,44.61224,7281000
3/5/2007,55.43,55.970001,54.900002,54.900002,44.177704,6482000
3/6/2007,55.349998,56.459999,55.209999,56.369999,45.360611,8311300
3/7/2007,56.119999,56.27,55.330002,55.860001,44.950203,5464100
3/8/2007,56.34,57,56.119999,56.82,45.722706,5424500
3/9/2007,57.07,57.349998,56.549999,56.900002,45.787106,3819800
3/12/2007,56.110001,56.959999,55.639999,56.709999,45.634197,3702300
3/13/2007,56.299999,56.599998,54.709999,54.75,44.057003,7980300
3/14/2007,54.25,56.139999,53.91,55.709999,44.829517,10665600
3/15/2007,55.580002,56.240002,55.5,56.110001,45.151386,8899200
3/16/2007,56.400002,56.560001,54.950001,55.549999,44.700752,7966600
3/19/2007,56.259998,56.299999,55.610001,56.040001,45.095051,6295000
3/20/2007,56.040001,56.41,55.919998,56.259998,45.272087,3857400
3/21/2007,56.27,57.75,55.66,57.490002,46.26186,7200000
3/22/2007,57.400002,57.599998,56.84,57.439999,46.22163,5326400
3/23/2007,57.580002,57.91,57.27,57.43,46.213573,3505600
3/26/2007,57.400002,57.57,56.689999,57.200001,46.028496,3708800
3/27/2007,56.950001,57.049999,56.380001,56.43,45.408882,5419500
3/28/2007,56.299999,56.360001,55.610001,55.860001,44.950203,7592800
3/29/2007,56.650002,56.68,55.84,56.459999,45.433018,4588000
3/30/2007,56.650002,56.939999,55.73,56.400002,45.384743,4139100
4/2/2007,56.400002,56.689999,55.34,55.860001,44.950203,6908100
4/3/2007,55.799999,56.459999,55.720001,55.919998,45.119656,7564200
4/4/2007,56,56.48,55.990002,56.310001,45.434338,3598600
4/5/2007,56.080002,56.18,55.73,55.959999,45.15192,4643600
4/9/2007,56.02,56.459999,55.669998,56.360001,45.474674,3592500
4/10/2007,56.200001,56.799999,56.099998,56.41,45.515018,4464600
4/11/2007,56.32,56.799999,55.990002,56.049999,45.224545,4512500
4/12/2007,56.09,56.580002,55.549999,56.509998,45.595695,5295000
4/13/2007,57,57.5,56.610001,57.360001,46.281528,7326000
4/16/2007,57.48,58.720001,57.470001,58.560001,47.249771,6472300
4/17/2007,58.5,58.5,57.869999,58.240002,46.991566,5115700
4/18/2007,58.299999,58.529999,58.040001,58.439999,47.152931,8383700
4/19/2007,58.5,59.099998,57.889999,58.950001,47.564434,7119400
4/20/2007,60.529999,61.16,59.700001,61,49.218498,14273800
4/23/2007,61.5,61.740002,60.700001,61.150002,49.339523,7559400
4/24/2007,61.150002,61.310001,60.549999,60.91,49.145878,8077200
4/25/2007,61.099998,62.5,60.52,62.32,50.283566,10412200
4/26/2007,62.150002,62.740002,61.400002,62.139999,50.138325,9451300
4/27/2007,61.82,62.5,61.720001,62.139999,50.138325,5486900
4/30/2007,62.07,62.48,60.630001,60.669998,48.952236,9399800
5/1/2007,60.5,61.360001,60.400002,61.32,49.4767,10965900
5/2/2007,61.509998,62.779999,61.41,62.740002,50.622437,8542000
5/3/2007,62.779999,63.459999,62.5,63.459999,51.203365,6629300
5/4/2007,63.5,63.669998,63.110001,63.389999,51.146904,3754300
5/7/2007,63.389999,63.5,62.959999,63.27,51.050072,2837200
5/8/2007,62.98,63.299999,62.650002,63.27,51.050072,3190000
5/9/2007,63.279999,63.450001,62.82,63.279999,51.058144,3213400
5/10/2007,63,63.220001,62.240002,62.75,50.630508,5553100
5/11/2007,62.75,63.119999,62.299999,62.970001,50.808029,3434400
5/14/2007,62.919998,63.139999,62.349998,62.419998,50.36425,4400500
5/15/2007,62.650002,63.5,62.419998,63.02,50.848366,5757200
5/16/2007,63.419998,64,63.220001,63.98,51.622948,5614400
5/17/2007,63.91,64.050003,63.400002,63.560001,51.284058,3041300
5/18/2007,63.799999,64.279999,63.75,63.959999,51.606812,4855300
5/21/2007,63.990002,64.449997,63.860001,64.269997,51.856934,4981600
5/22/2007,64.239998,64.5,63.939999,64.269997,51.856934,3237300
5/23/2007,64.220001,64.660004,63.689999,63.990002,51.631012,4596700
5/24/2007,64.010002,64.790001,63.93,64.019997,51.655209,6676200
5/25/2007,63.950001,64.160004,63.549999,63.630001,51.340534,3606700
5/29/2007,63.799999,64.379997,63.75,64.339996,51.913399,3269200
5/30/2007,64,65,63.799999,65,52.445942,5704500
5/31/2007,64.959999,65.099998,64.660004,64.980003,52.429813,4767400
6/1/2007,65,65.110001,64.669998,65.07,52.502434,5078900
6/4/2007,65.099998,65.239998,64.730003,65.019997,52.462078,3748500
6/5/2007,65,65.110001,64.57,64.790001,52.276508,5707300
6/6/2007,64.669998,64.790001,63.509998,63.740002,51.429295,5382900
6/7/2007,63.599998,64,62.610001,62.740002,50.622437,6424600
6/8/2007,62.599998,63.07,62.02,63.040001,50.864502,4282600
6/11/2007,62.790001,63.419998,62.419998,63.060001,50.880638,4451100
6/12/2007,63.060001,63.25,62.060001,62.119999,50.122192,4649500
6/13/2007,62.5,63.189999,62.189999,63.150002,50.953262,4263000
6/14/2007,63.169998,64.010002,62.799999,63.139999,50.945194,4570300
6/15/2007,63.77,63.900002,63.290001,63.77,51.45351,7127600
6/18/2007,63.98,64.650002,63.029999,63.139999,50.945194,3807500
6/19/2007,63.080002,63.380001,62.790001,63.150002,50.953262,4853000
6/20/2007,63.349998,63.560001,62.040001,62.049999,50.065701,4035000
6/21/2007,62,62.849998,60.700001,62.66,50.557888,6375700
6/22/2007,62.43,62.66,61.669998,61.790001,49.855915,8427100
6/25/2007,62.169998,62.720001,61.349998,61.799999,49.863998,5426200
6/26/2007,62.310001,62.630001,61.290001,61.330002,49.48476,5585000
6/27/2007,61.099998,61.619999,60.580002,61.529999,49.646133,4573500
6/28/2007,61.259998,61.970001,60.75,61.220001,49.396019,6978600
6/29/2007,61.650002,61.759998,60.369999,61.18,49.363743,6527800
7/2/2007,61.459999,61.93,60.959999,61.790001,49.855915,6017000
7/3/2007,62.610001,62.630001,61.59,62.419998,50.486805,2958200
7/5/2007,62.18,62.52,61.330002,61.380001,49.645622,3458000
7/6/2007,61.02,61.799999,60.880001,61.509998,49.750763,3401600
7/9/2007,61.700001,62.490002,61.389999,62.439999,50.502991,4884800
7/10/2007,62.490002,62.490002,60.240002,60.299999,48.772091,9896000
7/11/2007,60.150002,60.830002,59.73,60.279999,48.755924,7928200
7/12/2007,60.529999,63.389999,60.279999,63.330002,51.222832,9536900
7/13/2007,63.299999,63.389999,62.150002,62.830002,50.818424,6013100
7/16/2007,62.529999,62.720001,61.860001,61.880001,50.05003,4823800
7/17/2007,63.200001,64.949997,63.099998,64.739998,52.363281,10396500
7/18/2007,64.099998,65.269997,64.029999,65.050003,52.614033,9497700
7/19/2007,65.18,65.889999,65.18,65.550003,53.018425,6084900
7/20/2007,65.620003,65.669998,64.309998,64.510002,52.177258,7313900
7/23/2007,65.220001,65.489998,64.309998,64.660004,52.298569,7269400
7/24/2007,63,63.5,60.900002,61.169998,49.475773,12173000
7/25/2007,61.68,61.77,60.68,61.73,49.928715,8239600
7/26/2007,61.150002,61.84,58.889999,60.259998,48.739742,14059700
7/27/2007,60.630001,60.75,58.540001,58.549999,47.356659,13399900
7/30/2007,58.77,60.349998,58.5,60.139999,48.642681,9060400
7/31/2007,60.970001,62.650002,58.380001,58.540001,47.348564,12150800
8/1/2007,58.450001,59.759998,57.880001,59.630001,48.23019,10756200
8/2/2007,59.669998,61.07,59.610001,60.91,49.265476,8364600
8/3/2007,60.900002,60.91,57.470001,57.490002,46.499294,14938300
8/6/2007,57.880001,60.299999,55.5,60.23,48.715477,17552100
8/7/2007,59.57,60.919998,58.950001,60.43,48.877239,13129900
8/8/2007,60.700001,63.880001,60.560001,62.959999,50.923569,13356000
8/9/2007,60.669998,62.540001,59.939999,60.650002,49.055183,17308300
8/10/2007,60,61.200001,58.439999,60.779999,49.160328,16210100
8/13/2007,61.02,61.450001,59.299999,59.450001,48.084599,9661300
8/14/2007,59.5,59.790001,57.209999,57.299999,46.345634,11376800
8/15/2007,57.200001,58.360001,56.720001,56.740002,45.892689,10352300
8/16/2007,56.119999,58.810001,55.59,58.169998,47.049324,17405600
8/17/2007,59.68,60.18,57.610001,58.889999,47.631664,13244700
8/20/2007,59.099998,59.900002,57.990002,58.68,47.461803,6323700
8/21/2007,59.150002,59.560001,58.439999,59.139999,47.833862,6913300
8/22/2007,59.73,60.169998,58.32,60.130001,48.634594,8487200
8/23/2007,60.880001,60.889999,59.619999,60.029999,48.553719,5901300
8/24/2007,59.900002,60.98,59.720001,60.889999,49.249306,4785000
8/27/2007,60.880001,60.889999,59.900002,59.959999,48.497097,4405400
8/28/2007,59.490002,59.709999,57.349998,57.349998,46.386066,10827000
8/29/2007,57.869999,58.189999,57.009998,58.139999,47.025047,9128300
8/30/2007,57.790001,58.299999,57.18,57.720001,46.685333,7822900
8/31/2007,58.700001,59.169998,57.73,58.619999,47.413269,6144700
9/4/2007,58.73,61.43,58.18,60.77,49.15226,8269900
9/5/2007,60,60.169998,59.02,59.32,47.979454,6854500
9/6/2007,59.169998,59.990002,58.610001,59.400002,48.044159,4407300
9/7/2007,58.490002,58.900002,57.43,57.75,46.709595,8603300
9/10/2007,57.779999,59.349998,57.32,58.709999,47.486065,6167600
9/11/2007,58.880001,59.5,58.43,59.369999,48.019878,4355900
9/12/2007,58.919998,59.75,58.919998,59.48,48.108871,5698300
9/13/2007,59.98,60.75,59.509998,60.599998,49.014736,8098900
9/14/2007,58.400002,59.369999,58,58.939999,47.672112,8821100
9/17/2007,58.900002,58.919998,57.529999,58.200001,47.073566,7563400
9/18/2007,58.599998,61.279999,58,60.799999,49.176506,10318200
9/19/2007,61.330002,62.27,60.389999,60.950001,49.29784,8102800
9/20/2007,61.02,61.25,59.790001,60.119999,48.626514,8866800
9/21/2007,60.360001,60.57,58.869999,59.279999,47.94709,11867400
9/24/2007,59.349998,59.740002,58.25,58.389999,47.227253,6435000
9/25/2007,58.18,58.959999,57.900002,58.830002,47.583138,6697700
9/26/2007,59.220001,59.529999,58.630001,59.009998,47.728706,6371600
9/27/2007,59.48,59.759998,58.900002,59.57,48.18166,4673900
9/28/2007,59.700001,59.990002,59.049999,59.369999,48.019878,4368000
10/1/2007,59.150002,61.32,58.98,60.630001,49.039013,6364500
10/2/2007,60.75,61.43,60.310001,60.619999,49.030933,5344900
10/3/2007,60.110001,60.400002,59.709999,59.860001,48.53632,8577400
10/4/2007,59.919998,60.669998,59.619999,59.759998,48.455235,4062900
10/5/2007,60.25,61.98,60.200001,61.099998,49.541752,6846600
10/8/2007,61.110001,61.41,60.57,60.689999,49.209297,3527000
10/9/2007,60.950001,62.91,60.5,62.52,50.693134,8783700
10/10/2007,62.5,62.509998,61.360001,61.889999,50.182297,6626400
