Date,Open,High,Low,Close,Adj Close,Volume
1/3/2007,27.459999,27.98,27.33,27.73,21.264582,64226000
1/4/2007,27.68,28.49,27.540001,28.459999,21.824373,73012100
1/5/2007,28.440001,28.57,28.049999,28.469999,21.832045,62647800
1/8/2007,28.540001,28.74,28.32,28.629999,21.954746,47936500
1/9/2007,28.719999,28.75,28.309999,28.469999,21.832045,50488300
1/10/2007,28.27,28.73,28.209999,28.68,21.993078,50632400
1/11/2007,28.77,28.99,28.610001,28.690001,22.000753,54602200
1/12/2007,28.540001,28.969999,28.450001,28.92,22.177126,54588000
1/16/2007,28.59,28.59,28,28.040001,21.502304,75551500
1/17/2007,27.860001,28,26.889999,26.98,20.689449,108858000
1/18/2007,27.129999,27.15,26.27,26.450001,20.28302,80498300
1/19/2007,26.450001,26.85,26.42,26.700001,20.474737,62266800
1/22/2007,26.75,26.799999,26.15,26.530001,20.344366,69421400
1/23/2007,26.370001,26.719999,26.030001,26.040001,19.968611,67695900
1/24/2007,26.23,26.950001,26.190001,26.889999,20.620438,63817000
1/25/2007,26.93,26.950001,26.16,26.219999,20.106649,55317400
1/26/2007,26.16,26.540001,25.76,26.35,20.206335,64449600
1/29/2007,26.290001,26.469999,26,26.209999,20.098982,51536100
1/30/2007,26.290001,26.34,26.030001,26.25,20.129652,45030400
1/31/2007,26.190001,26.809999,26.049999,26.620001,20.413389,60517900
2/1/2007,26.67,26.99,26.360001,26.59,20.390381,55597200
2/2/2007,26.91,27.18,26.6,27.139999,20.812145,59427500
2/5/2007,27.42,27.67,27.23,27.51,21.095877,61115800
2/6/2007,27.75,27.780001,27.120001,27.280001,20.919504,105179400
2/7/2007,28.620001,28.85,28.08,28.09,21.540642,128470500
2/8/2007,27.9,28.35,27.799999,28.139999,21.578983,55285200
2/9/2007,28.059999,28.15,27.48,27.709999,21.249243,50559800
2/12/2007,27.620001,27.75,27.42,27.540001,21.118883,39247500
2/13/2007,27.66,27.73,27.01,27.18,20.842817,59367700
2/14/2007,27.26,27.65,27.15,27.459999,21.057533,48659900
2/15/2007,27.59,27.809999,27.450001,27.559999,21.13422,36506000
2/16/2007,27.48,27.549999,27.360001,27.52,21.103544,34920100
2/20/2007,27.559999,28,27.280001,27.66,21.210905,40816100
2/21/2007,27.32,27.610001,27.299999,27.379999,20.996183,35555600
2/22/2007,27.52,27.610001,27.219999,27.4,21.011524,40347700
2/23/2007,27.35,27.67,27.35,27.51,21.095877,40647000
2/26/2007,27.639999,27.700001,27.02,27.24,20.888828,37742200
2/27/2007,26.75,26.950001,25.440001,25.709999,19.715553,78613400
2/28/2007,25.799999,26.25,25.75,25.940001,19.891935,63725500
3/1/2007,25.4,26.25,25.07,25.85,19.822916,70349100
3/2/2007,25.690001,25.969999,25.15,25.299999,19.401154,68604200
3/5/2007,25.02,25.75,24.82,25.459999,19.523846,60022300
3/6/2007,25.790001,26.07,25.700001,25.959999,19.907263,51801300
3/7/2007,25.91,26.120001,25.58,25.870001,19.838257,65487300
3/8/2007,26.17,26.43,26.07,26.15,20.052971,43868500
3/9/2007,26.42,26.49,25.940001,26.08,19.99929,39302700
3/12/2007,25.98,26.25,25.889999,26.17,20.068306,29173700
3/13/2007,26,26.23,25.469999,25.5,19.554527,58047500
3/14/2007,25.5,25.879999,25.26,25.85,19.822916,53373200
3/15/2007,25.700001,25.93,25.620001,25.809999,19.792244,38348800
3/16/2007,25.790001,26.07,25.73,25.99,19.930271,49897100
3/19/2007,26.190001,26.370001,26,26.299999,20.168001,37540300
3/20/2007,26.33,26.48,26.1,26.34,20.198669,43996700
3/21/2007,26.4,26.790001,26.059999,26.790001,20.543749,44297700
3/22/2007,26.76,26.790001,26.360001,26.370001,20.221676,37075400
3/23/2007,26.450001,26.58,26.190001,26.190001,20.083643,31198200
3/26/2007,26.23,26.35,25.809999,26.34,20.198669,44659700
3/27/2007,26.15,26.24,25.85,25.93,19.884264,39229400
3/28/2007,25.790001,27,25.57,25.700001,19.707891,42165000
3/29/2007,25.92,25.969999,25.16,25.43,19.500845,56818400
3/30/2007,25.43,25.65,25.110001,25.530001,19.577526,38922900
4/2/2007,25.67,25.73,25.309999,25.4,19.477833,33519000
4/3/2007,25.540001,26.07,25.440001,25.85,19.822916,45485100
4/4/2007,25.950001,26.219999,25.879999,26.1,20.014626,39936300
4/5/2007,26.02,26.17,25.9,26.059999,19.983955,29372100
4/9/2007,26.120001,26.35,26.110001,26.200001,20.091314,28169500
4/10/2007,26.1,26.18,25.780001,25.99,19.930271,38575000
4/11/2007,25.969999,26.139999,25.639999,25.790001,19.776905,42709700
4/12/2007,25.780001,26.07,25.629999,25.969999,19.914934,28071900
4/13/2007,25.92,26.950001,25.639999,26.68,20.459394,83160800
4/16/2007,26.67,26.93,26.48,26.620001,20.413389,51863700
4/17/2007,26.68,27.120001,26.559999,26.84,20.582088,59262500
4/18/2007,26.66,26.99,26.5,26.870001,20.605101,32158000
4/19/2007,26.59,26.75,26.469999,26.68,20.459394,29165200
4/20/2007,27.049999,27.1,26.75,26.99,20.697119,42547500
4/23/2007,26.91,26.940001,26.5,26.58,20.382713,38480700
4/24/2007,26.65,26.66,26.059999,26.33,20.191,53272500
4/25/2007,26.530001,26.870001,26.219999,26.780001,20.536085,45166800
4/26/2007,26.82,27.16,26.540001,26.549999,20.359705,50933500
4/27/2007,26.51,27.049999,26.49,27.030001,20.727793,45157900
4/30/2007,27,27.200001,26.74,26.74,20.505409,50368000
5/1/2007,26.870001,27.030001,26.559999,26.860001,20.597429,46221200
5/2/2007,27.030001,27.75,27.02,27.67,21.218567,57237400
5/3/2007,27.76,27.940001,27.559999,27.700001,21.241573,37016600
5/4/2007,27.940001,28,27.799999,27.91,21.402615,45872300
5/7/2007,27.959999,27.969999,27.76,27.809999,21.32593,46411700
5/8/2007,27.780001,28.48,27.639999,28.360001,21.747702,98226500
5/9/2007,27.02,27.09,26.440001,26.51,20.329027,151576700
5/10/2007,26.370001,26.77,26.26,26.290001,20.160324,59524200
5/11/2007,26.440001,26.65,26.35,26.629999,20.421053,39094200
5/14/2007,26.620001,26.65,26.120001,26.290001,20.160324,50552200
5/15/2007,26.360001,26.49,26.08,26.129999,20.037632,43053100
5/16/2007,26.299999,26.49,26.129999,26.48,20.306021,38666800
5/17/2007,26.299999,26.620001,26.25,26.280001,20.152662,37058100
5/18/2007,26.360001,26.41,26.16,26.209999,20.098982,40781200
5/21/2007,26.209999,26.540001,26.190001,26.4,20.244677,43044700
5/22/2007,26.379999,26.5,26.26,26.370001,20.221676,40002600
5/23/2007,26.41,26.43,25.879999,25.969999,19.914934,54835900
5/24/2007,26.01,26.059999,25.33,25.4,19.477833,67814900
5/25/2007,25.540001,25.68,25.4,25.52,19.569857,42654600
5/29/2007,25.59,26,25.549999,25.9,19.861256,39918300
5/30/2007,25.690001,26.4,25.6,26.389999,20.237011,55932300
5/31/2007,26.74,26.99,26.49,26.92,20.643436,76344400
6/1/2007,26.950001,27.4,26.83,26.860001,20.597429,47539400
6/4/2007,26.719999,27.049999,26.65,27.01,20.712458,32524500
6/5/2007,26.860001,27.299999,26.860001,27.200001,20.858154,59452300
6/6/2007,26.98,27.08,26.469999,26.6,20.398052,42858600
6/7/2007,26.450001,26.6,25.84,25.85,19.822916,68232400
6/8/2007,25.879999,26.51,25.84,26.48,20.306021,47289500
6/11/2007,26.290001,26.530001,26.27,26.32,20.183334,24508400
6/12/2007,26.120001,26.530001,26.030001,26.059999,19.983955,49529900
6/13/2007,26.219999,26.530001,25.860001,26.530001,20.344366,43020100
6/14/2007,26.530001,26.969999,26.51,26.83,20.574423,39936800
6/15/2007,27.040001,27.4,26.879999,27.389999,21.003851,74476400
6/18/2007,27.389999,27.4,27.040001,27.209999,20.865822,45438500
6/19/2007,27.1,27.4,26.879999,27.299999,20.934834,42405200
6/20/2007,27.379999,27.700001,27.139999,27.200001,20.858154,62296300
6/21/2007,27.18,27.440001,26.91,27.32,20.950174,50549100
6/22/2007,27.17,27.49,26.85,26.92,20.643436,53207100
6/25/2007,26.84,27.35,26.75,27.030001,20.727793,44086600
6/26/2007,27.290001,27.49,26.99,27.15,20.819813,53507400
6/27/2007,26.950001,27.299999,26.85,27.27,20.911839,38389500
6/28/2007,27.709999,28.4,27.57,27.85,21.356607,77966700
6/29/2007,27.98,28.059999,27.65,27.85,21.356607,44996100
7/2/2007,28.02,28.059999,27.790001,27.889999,21.387278,36955200
7/3/2007,27.969999,28.1,27.809999,28.1,21.548315,22459300
7/5/2007,28.059999,28.379999,27.940001,28.370001,21.755363,38774800
7/6/2007,28.34,28.5,28.24,28.469999,21.832045,34530200
7/9/2007,28.43,28.5,28.35,28.450001,21.816704,33283200
7/10/2007,28.18,28.48,28.1,28.309999,21.709349,39571700
7/11/2007,28.139999,28.799999,28.129999,28.76,22.054432,42390300
7/12/2007,28.889999,29.969999,27.559999,29.799999,22.85195,91906700
7/13/2007,29.52,29.959999,29.5,29.889999,22.920969,56273400
