Date,Open,High,Low,Close,Adj Close,Volume
1/3/2007,20.450001,20.879999,20.139999,20.35,13.646589,69001200
1/4/2007,20.629999,21.33,20.559999,21.17,14.196483,88902300
1/5/2007,21.09,21.15,20.76,21.1,14.149538,64550800
1/8/2007,21.25,21.34,20.950001,21.01,14.08918,52839100
1/9/2007,21.18,21.209999,20.860001,21.030001,14.102601,54381000
1/10/2007,21.09,21.620001,21.030001,21.52,14.431189,76346900
1/11/2007,21.610001,22.049999,21.030001,21.92,14.699424,99263900
1/12/2007,21.790001,22.15,21.620001,22.129999,14.840252,90707700
1/16/2007,22.1,22.299999,21.780001,22.299999,14.954246,132197800
1/17/2007,21.25,21.5,20.780001,21.040001,14.109307,192479200
1/18/2007,20.889999,20.9,20.5,20.65,13.847767,101259500
1/19/2007,20.620001,20.870001,20.6,20.82,13.96177,64459100
1/22/2007,20.92,21.02,20.65,20.790001,13.941654,77064300
1/23/2007,20.85,20.879999,20.459999,20.549999,13.780712,66796000
1/24/2007,20.6,20.879999,20.57,20.84,13.975183,55953800
1/25/2007,20.870001,21.040001,20.6,20.6,13.814243,57199100
1/26/2007,20.690001,20.9,20.51,20.530001,13.767303,62234300
1/29/2007,20.799999,21.139999,20.700001,20.889999,14.008711,99681400
1/30/2007,21.09,21.129999,20.82,20.93,14.035537,61693700
1/31/2007,20.959999,21.02,20.690001,20.959999,14.055657,47840000
2/1/2007,20.98,21.139999,20.870001,21.110001,14.156247,50473200
2/2/2007,21.139999,21.25,21.030001,21.23,14.236715,55291300
2/5/2007,21.219999,21.41,21.17,21.280001,14.346609,63384700
2/6/2007,21.370001,21.49,21.08,21.309999,14.366835,56861600
2/7/2007,21.379999,21.67,21.24,21.51,14.501669,57645400
2/8/2007,21.299999,21.42,21.18,21.360001,14.400542,40270500
2/9/2007,21.42,21.540001,20.92,21.030001,14.178065,80404400
2/12/2007,20.93,20.98,20.75,20.799999,14.023003,48013400
2/13/2007,20.889999,20.950001,20.700001,20.870001,14.07019,55316100
2/14/2007,20.959999,21.299999,20.940001,21.139999,14.252221,56559400
2/15/2007,21.209999,21.35,21.129999,21.309999,14.366835,44728000
2/16/2007,21.26,21.4,21.15,21.23,14.312897,47511800
2/20/2007,21.059999,21.32,20.9,21.18,14.279192,47945200
