Date,Open,High,Low,Close,Adj Close,Volume
1/3/2007,66.129997,67.099998,66.110001,66.400002,44.763626,12845300
1/4/2007,65.900002,67.620003,65.900002,67.230003,45.323185,11262000
1/5/2007,66.800003,67.25,66.5,66.620003,44.911961,8141100
1/8/2007,66.510002,66.75,66.050003,66.510002,44.837807,6180400
1/9/2007,66.599998,66.849998,66.129997,66.260002,44.669258,7147100
1/10/2007,66.559998,66.559998,66.07,66.150002,44.595089,6528700
1/11/2007,66.400002,66.839996,66.279999,66.730003,44.986115,6371500
1/12/2007,66.449997,66.800003,66.300003,66.639999,44.925438,6189400
1/16/2007,66.650002,66.75,66.300003,66.540001,44.858028,7963700
1/17/2007,66.599998,67.379997,66.419998,66.870003,45.08049,9189900
1/18/2007,66.459999,67.989998,66.300003,67.709999,45.646778,10695600
1/19/2007,68,68.220001,67.529999,67.760002,45.680477,13473300
1/22/2007,68,68.110001,67.169998,67.18,45.289471,10245500
1/23/2007,66.989998,67.239998,66.129997,66.5,44.831043,9698300
1/24/2007,66.410004,67.089996,66.300003,67.010002,45.174877,7665500
1/25/2007,66.809998,67.040001,66.5,66.68,44.952404,7727900
1/26/2007,66.68,66.870003,65.989998,66.07,44.541164,10773000
1/29/2007,66.25,66.400002,66,66.150002,44.595089,8152700
1/30/2007,66.150002,66.599998,66.099998,66.389999,44.756886,7171900
1/31/2007,66.389999,67.019997,66.150002,66.800003,45.033306,8171600
2/1/2007,66.800003,67.07,66.5,67.010002,45.174877,9232500
2/2/2007,67,67.150002,66.489998,66.580002,44.884995,11317500
2/5/2007,66.379997,66.599998,66.099998,66.300003,44.696213,7526200
2/6/2007,66.389999,66.43,65.790001,66,44.493977,8180100
2/7/2007,66,66.099998,65.650002,65.800003,44.359146,7795300
2/8/2007,65.760002,65.970001,65.599998,65.760002,44.33218,7340100
2/9/2007,65.860001,66.099998,65.529999,65.599998,44.224323,7107600
2/12/2007,65.720001,65.870003,65.360001,65.459999,44.129932,6067300
2/13/2007,65.410004,65.519997,65.279999,65.379997,44.075996,8583600
2/14/2007,65.559998,65.900002,65.400002,65.849998,44.392841,7254900
2/15/2007,65.75,65.93,65.589996,65.790001,44.352398,7350800
2/16/2007,65.650002,65.739998,65.239998,65.510002,44.163647,12927000
2/20/2007,65.400002,65.830002,65.260002,65.459999,44.129932,9384300
2/21/2007,65.260002,65.400002,64.959999,65,43.819824,12036200
2/22/2007,64.970001,65.07,64.650002,64.779999,43.671513,12930900
2/23/2007,64.610001,64.610001,63.990002,64.150002,43.498608,11586300
2/26/2007,64.25,64.489998,64.010002,64.300003,43.600323,10483200
2/27/2007,64,64.239998,62.720001,63.049999,42.752712,18581000
2/28/2007,63.27,63.720001,62.82,62.93,42.671349,16690600
3/1/2007,62.349998,62.93,61.75,62.450001,42.345867,14589700
3/2/2007,62.299999,62.450001,61.73,61.950001,42.006836,13773000
3/5/2007,61.450001,62.349998,61.450001,61.830002,41.925468,16009400
3/6/2007,62.150002,62.220001,61.369999,61.700001,41.837326,19244300
3/7/2007,61.650002,62.529999,61.59,61.860001,41.945801,14139300
3/8/2007,62,62.25,61.650002,61.720001,41.850876,14670100
3/9/2007,62.18,62.310001,61.939999,62.139999,42.135666,10011500
3/12/2007,62.25,62.349998,61.41,61.790001,41.898338,13310200
3/13/2007,61.400002,61.73,60.610001,60.77,41.206696,17202700
3/14/2007,60.990002,61.150002,60.110001,60.709999,41.166016,16217000
3/15/2007,60.700001,60.810001,60.349998,60.529999,41.043953,10109800
3/16/2007,60.57,60.880001,60.25,60.509998,41.030407,15553900
3/19/2007,60.650002,60.799999,60.369999,60.73,41.179585,10425200
3/20/2007,60.66,61.34,60.650002,61.07,41.41013,9871300
3/21/2007,61.07,61.32,60.48,61.220001,41.511841,16305000
3/22/2007,61.220001,61.48,60.790001,60.860001,41.267735,12725500
3/23/2007,61.25,61.25,60.349998,60.509998,41.030407,17676100
3/26/2007,60.799999,60.799999,59.869999,60.25,40.854099,17385900
3/27/2007,60.099998,60.209999,59.98,60.029999,40.704926,12691000
3/28/2007,60,60.400002,59.869999,60,40.684593,16111500
3/29/2007,60.380001,60.48,60.02,60.34,40.915138,16849900
3/30/2007,60.43,60.450001,59.950001,60.259998,40.860889,13275100
