Date,Open,High,Low,Close,Adj Close,Volume
1/3/2007,43.650002,44.380001,43.5,43.869999,29.349396,7579100
1/4/2007,43.75,43.860001,42.869999,43.540001,29.128641,9776100
1/5/2007,43.400002,43.82,43.34,43.540001,29.128641,5701000
1/8/2007,43.5,43.849998,43.25,43.709999,29.242369,4538500
1/9/2007,43.860001,44.150002,43.59,43.790001,29.295876,6832800
1/10/2007,43.779999,44.290001,43.459999,44.259998,29.610315,6374800
1/11/2007,44.220001,44.599998,44.110001,44.509998,29.777569,5626900
1/12/2007,44.669998,44.68,44.09,44.220001,29.583569,7103000
1/16/2007,44.360001,44.650002,44.169998,44.57,29.817715,5377700
1/17/2007,44.57,45.060001,44.389999,44.860001,30.011723,9439700
1/18/2007,44.869999,44.990002,44.52,44.59,29.831089,4690400
1/19/2007,44.669998,44.900002,44.299999,44.810001,29.978264,5116900
1/22/2007,44.799999,44.799999,44.200001,44.349998,29.670527,4918000
1/23/2007,44.549999,45,44.400002,44.849998,30.00502,6140200
1/24/2007,44.450001,44.48,44.040001,44.16,29.543417,11019000
1/25/2007,43.98,44.139999,42.860001,43,28.767361,10630200
1/26/2007,43.02,43.09,42.540001,42.93,28.720545,8542300
1/29/2007,42.779999,43.650002,42.75,43.23,28.921232,8262100
1/30/2007,43.48,43.849998,43.48,43.77,29.282505,5818200
1/31/2007,43.77,44.439999,43.650002,44.349998,29.670527,7350900
2/1/2007,44.259998,44.52,44.200001,44.48,29.757502,6086700
2/2/2007,44.48,44.740002,44.419998,44.540001,29.797632,4724100
2/5/2007,44.459999,44.709999,44.299999,44.529999,29.790951,3520900
2/6/2007,44.700001,44.860001,44.43,44.77,29.951506,4016600
2/7/2007,44.75,44.880001,44.459999,44.720001,29.918066,3362000
2/8/2007,44.73,44.84,44.139999,44.349998,29.670527,6018400
2/9/2007,44.470001,44.900002,44.419998,44.560001,29.811016,4946700
2/12/2007,44.5,44.900002,44.400002,44.73,29.924757,5649800
2/13/2007,44.849998,44.970001,44.709999,44.900002,30.038483,5110800
2/14/2007,44.950001,45.049999,44.709999,45.02,30.118759,5361000
2/15/2007,44.900002,45.240002,44.84,44.98,30.092005,4127300
2/16/2007,45,45.380001,44.860001,45.32,30.319473,6806600
2/20/2007,45.169998,45.900002,45.049999,45.799999,30.640587,7022100
2/21/2007,45.740002,46.119999,45.740002,45.970001,30.75433,5621200
2/22/2007,45.849998,46.09,45.810001,46.049999,30.807835,4804000
2/23/2007,46.049999,46.209999,45.830002,46.009998,30.781086,3857700
2/26/2007,46,46.150002,45.759998,45.799999,30.640587,5905200
2/27/2007,45.540001,45.75,44,44.459999,29.74412,9690200
2/28/2007,44.560001,44.560001,43.380001,43.689999,29.228983,11700600
3/1/2007,43.490002,44.439999,42.939999,44.099998,29.503277,10729800
3/2/2007,44.099998,44.470001,43.630001,43.669998,29.215605,6448300
3/5/2007,43.459999,43.73,42.849998,42.91,28.707155,6868500
3/6/2007,43.169998,43.25,42.310001,43.099998,28.834269,7306100
3/7/2007,42.919998,43.259998,42.650002,43.099998,28.834269,5990100
3/8/2007,44,44.16,43.400002,43.639999,29.195524,6853100
3/9/2007,43.799999,44.490002,43.779999,44.150002,29.536728,6217700
3/12/2007,44.099998,44.889999,44.09,44.669998,29.884611,7331500
3/13/2007,44.619999,44.630001,43.43,43.48,29.088488,8612900
3/14/2007,43.57,43.869999,43.060001,43.650002,29.202232,6574100
3/15/2007,43.5,43.75,43.400002,43.470001,29.081795,5665500
3/16/2007,42.5,43.73,42.5,43.48,29.088488,9813600
3/19/2007,43.650002,44.240002,43.650002,43.869999,29.349396,4978200
3/20/2007,43.950001,44.349998,43.740002,44.310001,29.643772,3929600
3/21/2007,44.27,44.700001,43.82,44.610001,29.844471,4548900
3/22/2007,44.549999,44.669998,44.369999,44.490002,29.764189,6240800
3/23/2007,45,45.139999,44.34,45.049999,30.138838,6040700
3/26/2007,45.490002,45.490002,44.650002,45.119999,30.185659,5300500
3/27/2007,44.869999,45.189999,44.82,45.040001,30.132141,4722700
3/28/2007,44.849998,45.040001,44.459999,44.830002,29.991661,5982800
3/29/2007,45.290001,45.299999,44.66,44.869999,30.018404,5264800
3/30/2007,44.950001,45.27,44.709999,45.049999,30.138838,4770700
4/2/2007,44.279999,45.139999,44.259998,44.82,29.984962,4659500
4/3/2007,45,45.349998,44.939999,45.259998,30.279322,5775600
4/4/2007,45.040001,45.490002,45.040001,45.23,30.259254,3213000
4/5/2007,45.240002,45.810001,45.130001,45.779999,30.627209,4870000
4/9/2007,45.950001,46.630001,45.810001,46.490002,31.102207,7927500
4/10/2007,46.27,46.419998,46.060001,46.310001,30.981791,5558300
4/11/2007,46.310001,46.740002,46.240002,46.439999,31.06875,8634100
4/12/2007,46.490002,47,46.150002,46.630001,31.195868,5691700
4/13/2007,47.200001,47.919998,46.869999,47.639999,31.871561,9533300
4/16/2007,47.66,48.099998,47.419998,48.099998,32.179314,9647200
4/17/2007,48.049999,49.130001,48.049999,49.009998,32.788101,14330000
