Date,Open,High,Low,Close,Adj Close,Volume
1/3/2007,12.25,12.46375,12.10125,12.20875,7.266537,17299200
1/4/2007,12.20875,12.37125,12.1075,12.33375,7.340934,15085600
1/5/2007,12.2625,12.42625,12.2125,12.35375,7.352838,14996800
1/8/2007,12.3125,12.37375,12.20375,12.31625,7.330519,10109600
1/9/2007,12.31625,12.4925,12.295,12.47,7.422033,15167200
1/10/2007,12.405,12.48125,12.3625,12.47,7.422033,13012800
1/11/2007,12.4875,12.54375,12.42875,12.4975,7.438398,14316000
1/12/2007,12.44375,12.5025,12.415,12.47,7.422033,9296800
1/16/2007,12.4375,12.49875,12.40125,12.49625,7.437654,9264800
1/17/2007,12.475,12.4875,12.38125,12.4775,7.426494,10762400
1/18/2007,12.4775,12.53125,12.375,12.45875,7.415337,16351200
1/19/2007,12.5,12.52375,12.435,12.4925,7.435421,11123200
1/22/2007,12.51875,12.51875,12.18125,12.2125,7.268769,19514400
1/23/2007,12.2125,12.2875,12.02625,12.095,7.198832,13594400
1/24/2007,12.1,12.16,12.07375,12.105,7.204783,8871200
1/25/2007,12.1125,12.20875,11.97875,11.98,7.130384,10141600
1/26/2007,12,12.0825,11.865,11.9,7.082773,10981600
1/29/2007,11.92,12.0775,11.91875,12.04,7.1661,16308000
1/30/2007,12.0625,12.22375,12.0625,12.21875,7.272487,19752800
1/31/2007,12.21875,12.40625,12.1875,12.35125,7.351351,17216800
2/1/2007,12.3275,12.62875,12.305,12.585,7.490478,24736800
2/2/2007,12.625,12.6775,12.47625,12.525,7.454765,10944000
2/5/2007,12.45,12.54,12.30625,12.4275,7.396734,11786400
2/6/2007,12.4275,12.66,12.4275,12.64625,7.526933,11491200
2/7/2007,12.7325,12.875,12.6775,12.8625,7.655642,20092000
2/8/2007,12.8375,12.9625,12.78,12.92375,7.692101,15504000
2/9/2007,12.88375,13.01625,12.88375,12.95,7.707722,16579200
2/12/2007,12.95125,13.0525,12.90375,13.04625,7.765008,20028800
2/13/2007,12.92875,13.19625,12.92875,13.15,7.826759,18204000
2/14/2007,13.15,13.2225,13.11875,13.1725,7.840151,13357600
2/15/2007,13.155,13.2125,13.1,13.18875,7.849823,11341600
2/16/2007,13.3125,13.43875,13.21,13.2875,7.908597,15173600
2/20/2007,13.2875,13.3875,13.205,13.35125,7.94654,14660800
2/21/2007,13.34875,13.42125,13.31375,13.38875,7.968861,11065600
2/22/2007,13.3625,13.5375,13.33,13.52875,8.05219,11451200
2/23/2007,13.52875,13.52875,13.3975,13.505,8.038048,7232000
2/26/2007,13.6125,13.6125,13.4,13.47875,8.02243,13248800
2/27/2007,13.43,13.48,12.90625,12.99625,7.735248,18844000
2/28/2007,13.09375,13.13875,12.91125,13.05875,7.772449,17872000
3/1/2007,12.8875,13.24625,12.77125,13.16125,7.833457,16936800
3/2/2007,13.15,13.23625,12.9825,12.9825,7.727066,11324800
3/5/2007,12.98375,13.0325,12.8075,12.8075,7.622908,11975200
3/6/2007,12.86875,13.1875,12.85125,13.1375,7.81932,12863200
3/7/2007,13.11375,13.18875,12.9425,13.07375,7.781376,18889600
3/8/2007,13.15,13.29875,13.0625,13.075,8.008779,12782400
3/9/2007,13.16875,13.285,13.1125,13.23125,8.104485,10588800
3/12/2007,13.2125,13.2625,13.15,13.2,8.08534,8794400
3/13/2007,13.12625,13.175,12.86375,13.075,8.008779,11155200
3/14/2007,13.07625,13.1425,12.84375,13.1025,8.025622,13520800
3/15/2007,13.09375,13.2825,13.09375,13.2075,8.089937,11751200
3/16/2007,13.225,13.46375,13.2075,13.43375,8.228519,19292800
3/19/2007,13.475,13.57625,13.4325,13.54,8.293603,11548800
3/20/2007,13.54,13.6675,13.49875,13.65625,8.364806,8747200
3/21/2007,13.655,13.7625,13.52,13.60625,8.334182,15316000
3/22/2007,13.59875,13.6225,13.35375,13.575,8.31504,25697600
3/23/2007,13.37625,13.65875,13.12625,13.63125,8.349494,35017600
3/26/2007,13.63,13.675,13.4275,13.59875,8.329591,11599200
3/27/2007,13.5625,13.56375,13.295,13.32125,8.159612,17855200
3/28/2007,13.3,13.30125,13.11125,13.14125,8.049357,18037600
3/29/2007,13.1375,13.21875,13.0625,13.12125,8.037107,13173600
3/30/2007,13.15,13.33625,13.095,13.2825,8.135877,12464800
4/2/2007,13.35,13.3975,13.23875,13.30375,8.148891,9031200
4/3/2007,13.3125,13.45,13.2625,13.3,8.146595,10764800
4/4/2007,13.3625,13.5,13.3,13.3975,8.206317,11908400
4/5/2007,13.3975,13.4575,13.31,13.37,8.189471,9134000
4/9/2007,13.3525,13.5225,13.3525,13.475,8.253788,11630800
4/10/2007,13.4325,13.515,13.335,13.5025,8.270635,13752000
4/11/2007,13.58,13.7025,13.4525,13.4975,8.26757,10686400
4/12/2007,13.4575,13.58,13.35,13.5575,8.30432,8052400
4/13/2007,13.775,13.775,13.35,13.4125,8.215507,8572800
4/16/2007,13.5,13.625,13.415,13.5925,8.325758,9806400
4/17/2007,13.5975,13.6,13.395,13.5375,8.292072,8610000
4/18/2007,13.52,13.525,13.41,13.4725,8.252255,8291600
4/19/2007,13.625,13.625,13.335,13.37,8.189471,9158800
4/20/2007,13.37,13.4325,13.27,13.3825,8.197127,14458000
4/23/2007,13.36,13.56,13.36,13.39,8.201722,9939200
4/24/2007,13.4625,13.47,13.2,13.3775,8.194068,9717200
