Date,Open,High,Low,Close,Adj Close,Volume
1/3/2007,35.129356,35.932209,35.110687,35.306732,18.227419,21445800
1/4/2007,35.493443,35.558788,35.176033,35.502777,18.328621,19215800
1/5/2007,35.502777,35.530781,34.839958,34.895969,18.015354,19047000
1/8/2007,34.494545,34.578564,34.15847,34.36385,17.948954,20370800
1/9/2007,34.36385,34.774609,34.36385,34.50388,18.022093,16281300
1/10/2007,34.50388,34.541222,34.055779,34.307838,17.919703,14750200
1/11/2007,34.270496,34.737267,34.074451,34.643913,18.095228,9740700
1/12/2007,34.774609,34.998661,34.681255,34.849293,18.202509,12502700
1/16/2007,34.923977,34.998661,34.513218,34.69059,18.119621,12128100
1/17/2007,34.587902,34.774609,34.345177,34.429199,17.983086,11809700
1/18/2007,34.167805,35.157364,34.167805,35.073345,18.319536,12188200
1/19/2007,35.073345,35.129356,34.559895,34.774609,18.163502,13451400
1/22/2007,34.643913,34.914642,34.541222,34.774609,18.163502,9991400
1/23/2007,34.8773,35.428093,34.830624,34.998661,18.280527,14298300
1/24/2007,35.129356,35.689484,35.08268,35.540119,18.563347,11639000
1/25/2007,35.540119,35.680149,34.709263,35.007996,18.2854,12685000
1/26/2007,35.007996,35.316067,34.634579,35.316067,18.44631,10493300
1/29/2007,34.933311,35.66148,34.793282,35.502777,18.543839,17055400
1/30/2007,35.512112,36.109581,35.512112,36.016228,18.812027,17042600
1/31/2007,35.885529,36.109581,35.577461,35.960213,18.782774,12921900
2/1/2007,36.1936,36.1936,35.381416,35.47477,18.529209,15064200
2/2/2007,35.66148,35.829517,35.484104,35.633472,18.612104,10841400
2/5/2007,35.493443,35.59613,35.297398,35.558788,18.573092,9057800
2/6/2007,35.521446,35.66148,35.297398,35.549454,18.568214,8630300
2/7/2007,35.549454,35.838852,35.428093,35.558788,18.573092,8500000
2/8/2007,35.512112,35.689484,35.176033,35.428093,18.504824,12177900
2/9/2007,35.465435,35.568123,34.886635,35.194706,18.382929,8386900
2/12/2007,35.194706,35.362743,34.895969,35.073345,18.319536,6797200
2/13/2007,35.073345,35.540119,34.989326,35.512112,18.548714,7420800
2/14/2007,35.568123,36.184265,35.521446,36.062904,18.836405,12386200
