Date,Open,High,Low,Close,Adj Close,Volume
1/3/2007,47.09,48.299999,47.060001,47.549999,34.714798,35687300
1/4/2007,47.799999,47.990002,47.32,47.779999,34.882713,17073000
1/5/2007,47.5,47.799999,47.150002,47.389999,34.597984,13556900
1/8/2007,46.91,47.310001,46.900002,47,34.313251,16396400
1/9/2007,47,47.669998,47,47.389999,34.597984,14643200
1/10/2007,47.049999,47.619999,46.509998,47.279999,34.51767,13348100
1/11/2007,47.27,47.73,47.209999,47.599998,34.751293,14823200
1/12/2007,47.619999,48.110001,47.209999,47.98,35.028725,13910800
1/16/2007,47.93,48.48,47.790001,48.310001,35.269638,14482400
1/17/2007,48.32,48.41,48.09,48.200001,35.189346,11305400
1/18/2007,48.200001,48.779999,48.080002,48.389999,35.328053,13656200
1/19/2007,48.490002,48.740002,48.189999,48.310001,35.269638,11960300
1/22/2007,48.16,48.27,47.599998,47.959999,35.01413,12719900
1/23/2007,47.779999,48.150002,47.459999,47.810001,34.90461,11274300
1/24/2007,48.07,48.700001,47.990002,48.610001,35.488659,13491600
1/25/2007,48.610001,48.639999,48.09,48.150002,35.152832,9760100
1/26/2007,48.049999,48.360001,47.470001,47.669998,34.802395,11058400
1/29/2007,48.150002,48.150002,47.5,47.630001,34.77319,9537000
1/30/2007,47.75,47.84,46.91,47.279999,34.51767,16342400
1/31/2007,47.200001,47.959999,47.040001,47.689999,34.817009,14894300
2/1/2007,47.509998,48.080002,47.439999,47.779999,34.882713,13235400
2/2/2007,47.75,48.419998,47.639999,48.080002,35.101738,12611700
2/5/2007,48.439999,48.900002,48.419998,48.52,35.422962,14214900
2/6/2007,48.610001,48.77,48.32,48.580002,35.466763,8961900
2/7/2007,48.389999,48.75,48.279999,48.580002,35.466763,10084300
2/8/2007,48.360001,48.599998,48.130001,48.310001,35.269638,10791600
2/9/2007,48.369999,48.540001,47.669998,47.970001,35.02142,12406000
2/12/2007,48.150002,48.240002,47.68,47.740002,34.853516,10330400
2/13/2007,47.799999,48.169998,47.740002,47.98,35.028725,10068400
2/14/2007,48.080002,48.130001,47.75,47.869999,34.948414,12275700
2/15/2007,47.900002,48.540001,47.82,48.360001,35.306156,11296500
2/16/2007,48.349998,48.849998,48.25,48.48,35.393761,17103700
2/20/2007,49.810001,50.290001,49.41,50.259998,36.693279,36502900
2/21/2007,49.91,50.419998,49.869999,49.970001,36.481567,23789100
2/22/2007,50.09,50.18,49.549999,49.689999,36.277138,10632900
2/23/2007,49.66,49.889999,49.290001,49.57,36.189529,11050600
2/26/2007,49.709999,50.049999,49.450001,49.98,36.488865,10662800
2/27/2007,49.599998,49.779999,48.200001,48.200001,35.189346,20652700
2/28/2007,48.5,48.66,48.009998,48.310001,35.269638,21331800
3/1/2007,47.779999,48.200001,47.189999,47.889999,34.963009,20456600
3/2/2007,47.849998,48.32,47.709999,47.810001,34.90461,18359700
3/5/2007,47.650002,48.27,47.439999,47.470001,34.656384,14331300
3/6/2007,47.84,48.290001,47.75,48.040001,35.072529,14918600
3/7/2007,48.049999,48.25,47.610001,47.93,34.992226,13327000
3/8/2007,48.049999,48.150002,47.380001,47.880001,34.955715,20395700
3/9/2007,47.779999,48.130001,47.150002,47.419998,34.619877,13950500
3/12/2007,47.529999,47.630001,47.099998,47.259998,34.503071,12197200
3/13/2007,46.98,47.130001,46.029999,46.18,33.714592,23987000
3/14/2007,46.18,46.220001,45.060001,45.73,33.545879,27585500
3/15/2007,45.75,46.16,45.490002,46,33.743942,13290800
3/16/2007,46.220001,46.799999,45.75,46.209999,33.897987,18992400
3/19/2007,46.5,46.82,46.380001,46.59,34.176746,12079500
3/20/2007,46.48,47.400002,46.439999,47.299999,34.697571,15267000
3/21/2007,47.220001,47.849998,46.950001,47.77,35.042351,13632000
3/22/2007,47.619999,48.200001,47.560001,48.009998,35.218399,15117300
3/23/2007,48.009998,48.150002,47.75,47.91,35.145042,7993900
3/26/2007,47.84,47.919998,47.150002,47.84,35.093689,12706100
3/27/2007,47.57,47.799999,47.029999,47.490002,34.836945,12950500
3/28/2007,47.169998,47.189999,46.459999,46.639999,34.213417,18080500
3/29/2007,46.93,47.040001,46.360001,46.720001,34.272121,12563100
3/30/2007,46.860001,47.09,46.639999,46.950001,34.440819,15187300
4/2/2007,47.060001,47.52,46.849998,47.400002,34.770943,13746300
4/3/2007,47.509998,48.290001,47.470001,48.099998,35.284412,17161900
4/4/2007,48,48.32,47.900002,48.049999,35.247753,10973900
4/5/2007,47.889999,48.450001,47.860001,48.27,35.40913,9515400
4/9/2007,48.27,48.549999,47.889999,48.470001,35.555843,8537800
4/10/2007,48.450001,48.450001,47.939999,47.939999,35.167049,9750700
4/11/2007,47.950001,48.110001,47.060001,47.27,34.675564,17725400
4/12/2007,47.380001,47.5,46.900002,47.259998,34.66824,11571900
4/13/2007,47.400002,47.419998,46.830002,47.41,34.778271,12421400
4/16/2007,47.630001,48.119999,47.509998,48.07,35.262428,14250000
4/17/2007,48.189999,48.43,47.889999,48.169998,35.335766,12391300
4/18/2007,48,48.18,47.830002,47.970001,35.18906,7993500
4/19/2007,47.75,48.380001,47.650002,48.34,35.460487,8050300
4/20/2007,48.59,49.84,48.509998,49.759998,36.50214,23421400
4/23/2007,49.73,49.950001,48.84,48.93,35.893284,14055500
4/24/2007,48.560001,48.98,48.130001,48.689999,35.717228,18552900
4/25/2007,48.77,49.099998,48.630001,48.810001,35.805252,14503000
4/26/2007,48.779999,49.060001,48.57,48.700001,35.724567,9231100
4/27/2007,48.52,48.689999,48.32,48.34,35.460487,9302100
4/30/2007,48.25,48.66,47.869999,47.919998,35.152386,13988700
5/1/2007,47.919998,48.560001,47.509998,48.330002,35.453144,14785600
5/2/2007,48.299999,48.740002,48.169998,48.279999,35.416462,12118400
5/3/2007,48.52,48.75,48.200001,48.360001,35.475143,10951600
5/4/2007,48.400002,48.5,48.049999,48.27,35.40913,9605800
5/7/2007,48.43,48.880001,48.279999,48.610001,35.658535,8893300
5/8/2007,48.369999,48.639999,48.080002,48.099998,35.284412,10172500
5/9/2007,48.07,48.279999,47.84,47.93,35.159725,15225800
5/10/2007,47.5,48.330002,47.450001,47.75,35.027691,17850200
5/11/2007,47.84,47.91,47.41,47.779999,35.049694,15889300
5/14/2007,47.639999,48,47.490002,47.84,35.093689,12971400
5/15/2007,47.959999,48.099998,47.41,47.619999,34.932316,19379800
5/16/2007,47.490002,47.740002,46.98,47.18,34.770176,16516500
5/17/2007,47.470001,47.470001,47.02,47.110001,34.718594,12626000
5/18/2007,47.32,47.369999,47.18,47.27,34.836514,13743100
5/21/2007,47.130001,47.400002,46.619999,46.619999,34.357475,21022300
5/22/2007,46.57,46.799999,46.470001,46.540001,34.298515,11196900
5/23/2007,46.880001,47.139999,46.32,46.330002,34.143749,14253600
5/24/2007,46.41,46.950001,46.349998,46.650002,34.379604,14731400
5/25/2007,46.799999,47,46.639999,46.91,34.571194,8796000
5/29/2007,47.169998,47.540001,46.759998,46.939999,34.593315,14948200
5/30/2007,46.650002,47.150002,46.470001,47.119999,34.725964,16038300
5/31/2007,47.099998,47.799999,47.099998,47.599998,35.079704,17483900
6/1/2007,47.900002,49.939999,47.73,49.470001,36.457844,49104400
6/4/2007,50.150002,51.439999,50.150002,51.209999,37.740158,54679300
6/5/2007,50.91,51.200001,50.360001,50.52,37.231655,32728500
6/6/2007,50.16,51.040001,50.150002,50.75,37.401157,25261100
6/7/2007,50.389999,50.75,49.610001,49.759998,36.671555,24799800
6/8/2007,49.889999,50.150002,49.599998,50.080002,36.907379,14736100
6/11/2007,49.900002,50.119999,49.549999,49.810001,36.708405,12639700
6/12/2007,49.610001,49.810001,48.900002,48.91,36.045143,19065800
6/13/2007,49.18,49.540001,48.970001,49.5,36.479954,14142800
6/14/2007,49.299999,49.650002,48.98,49.279999,36.317818,13366800
6/15/2007,49.34,49.68,49.209999,49.34,36.362034,22726300
6/18/2007,49.32,49.450001,49.07,49.110001,36.192535,11030600
6/19/2007,48.93,48.970001,47.77,48.810001,35.971439,14846900
6/20/2007,48.849998,49.25,48.560001,48.59,35.809307,17991400
6/21/2007,48.709999,48.790001,48.080002,48.389999,35.6619,16512700
6/22/2007,48.25,48.43,47.830002,47.830002,35.249207,20450600
6/25/2007,48,48.119999,47.689999,47.82,35.241833,17820600
6/26/2007,47.91,48.490002,47.75,47.970001,35.352383,16074900
6/27/2007,47.830002,48.490002,47.759998,48.459999,35.713509,17901800
6/28/2007,48.330002,48.5,48.169998,48.209999,35.52927,13553200
6/29/2007,48.5,48.650002,47.869999,48.110001,35.455563,14131500
7/2/2007,48.200001,48.490002,48.139999,48.330002,35.617699,10544200
7/3/2007,48.34,48.470001,48.130001,48.470001,35.720875,6212100
7/5/2007,48.360001,48.459999,48.080002,48.09,35.44083,11198600
7/6/2007,48.09,48.490002,47.990002,48.389999,35.6619,13106700
7/9/2007,48.41,48.830002,48.259998,48.5,35.742992,10701300
